id,nr_isos,tool,error_rates
6_16,6,isONform,0.34026666666666666
13_7,13,isONform,0.1651846153846154
9_2,9,isONform,0.11323636363636363
11_11, 11, RATTLE, 0.7389111111111111
5_12, 5, RATTLE, 2.5652333333333335
12_4, 12, RATTLE, 2.35674
9_13,9,isONform,0.16727777777777778
15_9,15,isONform,1.3071315789473683
2_12, 2, RATTLE, 0.26595
10_5, 10, RATTLE, 1.6274285714285717
12_14,12,isONform,0.17320833333333333
13_16, 13, RATTLE, 1.24855
12_9,12,isONform,0.22186666666666668
15_17,15,isONform,0.2936727272727273
15_11, 15, RATTLE, 1.8180833333333333
5_6, 5, RATTLE, 0.188125
4_7,4,isONform,0.82582
6_3, 6, RATTLE, 0.4605
7_10,7,isONform,0.7326545454545456
2_4,2,isONform,1.4687333333333334
9_17, 9, RATTLE, 0.43674285714285715
4_3,4,isONform,0.197475
8_1, 8, RATTLE, 2.5851
4_17, 4, RATTLE, 4.4172
7_11, 7, RATTLE, 1.6686
12_12, 12, RATTLE, 4.0471
4_20,4,isONform,0.052125000000000005
11_5, 11, RATTLE, 3.1538
10_2, 10, RATTLE, 1.750085714285714
15_17, 15, RATTLE, 2.1247142857142856
9_7, 9, RATTLE, 1.65105
2_10,2,isONform,0.19155
8_10, 8, RATTLE, 0.27012857142857144
10_17, 10, RATTLE, 2.3457
9_11, 9, RATTLE, 1.7538428571428573
12_18, 12, RATTLE, 2.4489428571428573
11_4, 11, RATTLE, 1.28238
4_3, 4, RATTLE, 3.9590999999999994
10_12,10,isONform,0.10941666666666668
8_11, 8, RATTLE, 6.3525599999999995
15_3,15,isONform,0.4366222222222222
12_5,12,isONform,0.1220235294117647
2_3, 2, RATTLE, 0.26395
6_12, 6, RATTLE, 2.9851
7_9,7,isONform,0.3310375
12_6, 12, RATTLE, 1.3309727272727274
7_17, 7, RATTLE, 1.9158199999999996
6_18,6,isONform,0.5340333333333334
3_6, 3, RATTLE, 0.3963666666666666
3_12,3,isONform,0.1782
14_14, 14, RATTLE, 3.5616909090909092
13_15,13,isONform,0.07545384615384615
11_12,11,isONform,0.5933071428571429
8_4,8,isONform,0.3074818181818182
13_20, 13, RATTLE, 4.924657142857144
2_16, 2, RATTLE, 29.0909
11_6, 11, RATTLE, 0.9932
8_9,8,isONform,0.1015875
5_17, 5, RATTLE, 0.48041999999999996
13_4,13,isONform,0.16005384615384613
14_17,14,isONform,0.1705142857142857
12_20,12,isONform,0.3130071428571429
2_17,2,isONform,0.9144
14_9,14,isONform,0.21663529411764706
9_6,9,isONform,0.2736636363636364
4_4, 4, RATTLE, 0.24527500000000002
5_13, 5, RATTLE, 1.506525
2_11,2,isONform,1.7391333333333334
4_12, 4, RATTLE, 0.5801666666666666
10_6,10,isONform,0.23160909090909093
3_20,3,isONform,0.9222285714285714
5_9, 5, RATTLE, 0.14757499999999998
9_2, 9, RATTLE, 2.3218
9_4, 9, RATTLE, 1.15892
10_18, 10, RATTLE, 0.22965
13_1, 13, RATTLE, 2.1074
13_12,13,isONform,0.11623076923076922
4_13, 4, RATTLE, 0.4789666666666667
14_17, 14, RATTLE, 8.364957142857145
13_14,13,isONform,0.4124789473684211
5_15, 5, RATTLE, 2.0286333333333335
4_9, 4, RATTLE, 0.061733333333333335
7_16,7,isONform,0.33642500000000003
5_4, 5, RATTLE, 0.5990800000000001
9_18,9,isONform,0.38045555555555555
12_1, 12, RATTLE, 3.2799999999999994
10_4,10,isONform,0.80356875
5_20,5,isONform,0.5790200000000001
8_12, 8, RATTLE, 3.6035000000000004
7_14, 7, RATTLE, 1.9323428571428576
4_10, 4, RATTLE, 5.667533333333334
11_15,11,isONform,0.4829400000000001
7_2,7,isONform,0.11985714285714286
15_12,15,isONform,0.67670625
15_1, 15, RATTLE, 4.721937499999999
11_12, 11, RATTLE, 4.413433333333333
11_1,11,isONform,0.5123461538461537
5_1,5,isONform,0.28124000000000005
3_7, 3, RATTLE, 5.13435
5_11, 5, RATTLE, 1.8030666666666668
11_7,11,isONform,0.09951818181818183
11_14, 11, RATTLE, 5.9295
13_11, 13, RATTLE, 0.21095833333333333
9_5,9,isONform,0.19831
10_5,10,isONform,0.18342
14_19, 14, RATTLE, 6.4117
12_1,12,isONform,0.23094285714285714
7_1, 7, RATTLE, 3.2311199999999998
3_6,3,isONform,0.9089499999999999
11_16,11,isONform,0.19722727272727275
14_1, 14, RATTLE, 1.6401714285714284
8_19,8,isONform,0.131975
4_15,4,isONform,0.24785
11_6,11,isONform,0.1929909090909091
2_5, 2, RATTLE, 0.14285
15_1,15,isONform,0.4443866666666667
10_13, 10, RATTLE, 4.538928571428571
8_15, 8, RATTLE, 0.3256375
13_6, 13, RATTLE, 1.0131909090909088
8_3,8,isONform,0.42935555555555555
7_15, 7, RATTLE, 3.489
3_13, 3, RATTLE, 0.8112333333333334
6_15, 6, RATTLE, 2.77258
15_16, 15, RATTLE, 2.1272571428571427
11_3, 11, RATTLE, 1.3724500000000002
12_12,12,isONform,0.7734888888888889
3_18,3,isONform,0.3893
13_19, 13, RATTLE, 3.3179499999999997
2_18, 2, RATTLE, 0.2001
12_7, 12, RATTLE, 6.150975000000001
14_6,14,isONform,0.16069999999999998
9_11,9,isONform,0.35420000000000007
2_8,2,isONform,0.33065
8_20,8,isONform,0.1080875
10_10, 10, RATTLE, 0.959525
10_12, 10, RATTLE, 2.1915857142857145
2_18,2,isONform,1.2057
5_5,5,isONform,0.9950500000000001
8_2, 8, RATTLE, 0.3831
6_19, 6, RATTLE, 3.42358
10_10,10,isONform,0.10154
9_5, 9, RATTLE, 2.8916571428571425
12_14, 12, RATTLE, 0.25856666666666667
14_18, 14, RATTLE, 0.43193000000000004
9_16, 9, RATTLE, 1.3839833333333333
10_16,10,isONform,0.16402
7_9, 7, RATTLE, 4.7306
3_20, 3, RATTLE, 7.3952
4_12,4,isONform,0.5332250000000001
11_2, 11, RATTLE, 1.05645
5_18,5,isONform,0.1649
6_2,6,isONform,0.45647499999999996
7_7,7,isONform,0.2422625
14_9, 14, RATTLE, 1.0313777777777777
13_17, 13, RATTLE, 0.61893
3_17, 3, RATTLE, 0.037033333333333335
15_20,15,isONform,0.13419333333333333
11_18,11,isONform,0.37779999999999997
5_14,5,isONform,0.6933428571428573
5_3,5,isONform,0.31673999999999997
3_12, 3, RATTLE, 0.1938
14_16,14,isONform,0.18222857142857143
12_8, 12, RATTLE, 4.379416666666667
15_13, 15, RATTLE, 3.1237166666666667
2_17, 2, RATTLE, 0.2941
13_11,13,isONform,0.46227999999999997
5_8,5,isONform,0.72942
9_8,9,isONform,0.4548749999999999
